Station|Coordinates|Create_Timestamp|City|Conditions|Conditions_Description|Temperature|Min_Temperature|Max_Temperature|Pressure|Humidity|Wind_Speed|Wind_Degrees|Source_Date_Time|City_Id|Update_Timestamp|Record_Delete_Flag
MGB|-37.83,140.77|2017-12-11T01:54:21Z|Mount Gambier|Clear|clear sky|+11.22|+11.22|+11.22|1027.79|92|1.17|210.0|1512917657|2156643|1900-01-01T00:00:00Z|0
LSY|-28.81,153.28|2017-12-11T04:22:21Z|Lismore|Clouds|overcast clouds|+18.33|+18.33|+18.33|1006.14|84|1.77|186.0|1512926514|2160063|1900-01-01T00:00:00Z|0
CNS|-16.92,145.77|2017-12-11T04:22:21Z|Cairns|Clouds|few clouds|+25.0|+25.0|+25.0|1011.0|78|5.1|160.0|1512925200|2172797|1900-01-01T00:00:00Z|0
ARM|-30.52,151.65|2017-12-11T04:22:21Z|Armidale|Clear|clear sky|+6.16|+6.16|+6.16|928.48|89|0.87|123.0|1512926510|2177671|1900-01-01T00:00:00Z|0
BXG|-36.77,144.28|2017-12-11T04:22:21Z|Bendigo|Clear|clear sky|+12.76|+12.76|+12.76|1013.19|91|3.32|173.5|1512926505|2176187|1900-01-01T00:00:00Z|0
CBR|-35.28,149.13|2017-12-11T04:22:21Z|Canberra|Clear|clear sky|+14.0|+14.0|+14.0|1020.0|93|1.5|60.0|1512925200|2172517|1900-01-01T00:00:00Z|0
ISA|-20.73,139.5|2017-12-11T04:22:21Z|Mount Isa|Clear|clear sky|+28.0|+28.0|+28.0|1011.0|14|4.1|140.0|1512925200|2065594|1900-01-01T00:00:00Z|0
ADL|-34.93,138.6|2017-12-11T04:22:21Z|Adelaide|Clear|clear sky|+15.0|+15.0|+15.0|1020.0|77|2.22|116.5|1512925200|2078025|1900-01-01T00:00:00Z|0
TMW|-31.1,150.93|2017-12-11T04:22:21Z|Tamworth|Clear|clear sky|+16.0|+16.0|+16.0|1019.0|72|4.1|130.0|1512925200|2147497|1900-01-01T00:00:00Z|0
FOT|-32.17,152.52|2017-12-11T04:22:21Z|Forster|Clear|clear sky|+14.0|+14.0|+14.0|1019.0|93|0.5|280.0|1512925200|2166309|1900-01-01T00:00:00Z|0
OAG|-33.28,149.1|2017-12-11T04:22:21Z|Orange|Clear|clear sky|+11.81|+11.81|+11.81|969.01|90|1.22|85.5|1512926518|2154219|1900-01-01T00:00:00Z|0
GUL|-34.75,149.72|2017-12-11T04:22:21Z|Goulburn|Clear|clear sky|+12.01|+12.01|+12.01|970.79|84|0.72|335.0|1512926512|2164837|1900-01-01T00:00:00Z|0
RBU|-20.78,117.13|2017-12-11T04:22:21Z|Roebourne|Clear|clear sky|+21.71|+21.71|+21.71|1011.08|81|4.22|243.0|1512926521|2062276|1900-01-01T00:00:00Z|0
PQQ|-31.43,152.92|2017-12-11T04:22:21Z|Port Macquarie|Clouds|overcast clouds|+14.0|+14.0|+14.0|1019.0|93|0.5|280.0|1512925200|2152659|1900-01-01T00:00:00Z|0
WOL|-34.43,150.88|2017-12-11T04:22:21Z|Wollongong|Clear|clear sky|+16.31|+15.0|+19.0|1019.0|88|1.5|340.0|1512925200|2171507|1900-01-01T00:00:00Z|0
ECH|-36.13,144.75|2017-12-11T04:22:21Z|Echuca|Clear|clear sky|+14.21|+14.21|+14.21|1021.54|78|3.02|172.0|1512926526|2167817|1900-01-01T00:00:00Z|0
ALH|-35.02,117.89|2017-12-11T04:22:21Z|Albany|Clouds|overcast clouds|+19.33|+19.33|+19.33|1011.32|85|2.82|194.0|1512926516|2077963|1900-01-01T00:00:00Z|0
MQL|-34.2,142.15|2017-12-11T04:22:21Z|Mildura|Clear|clear sky|+14.46|+14.46|+14.46|1025.27|70|1.57|211.5|1512926513|2157698|1900-01-01T00:00:00Z|0
BDB|-24.85,152.35|2017-12-11T04:22:21Z|Bundaberg|Rain|light rain|+23.21|+23.21|+23.21|1028.19|100|7.52|139.5|1512926522|2173323|1900-01-01T00:00:00Z|0
BNE|-27.47,153.03|2017-12-11T04:22:21Z|Brisbane|Clear|clear sky|+17.95|+17.0|+19.0|1016.0|82|3.6|200.0|1512925200|2174003|1900-01-01T00:00:00Z|0
SYD|-33.87,151.21|2017-12-11T04:22:21Z|Sydney|Clear|clear sky|+16.82|+15.0|+19.0|1019.0|88|1.5|340.0|1512925200|2147714|1900-01-01T00:00:00Z|0
GLT|-23.85,151.25|2017-12-11T04:22:21Z|Gladstone|Clear|clear sky|+19.91|+19.91|+19.91|1014.0|95|4.67|142.5|1512926513|2165478|1900-01-01T00:00:00Z|0
BWT|-41.07,145.92|2017-12-11T04:22:21Z|Burnie|Clouds|few clouds|+15.13|+15.13|+15.13|1030.29|100|7.42|245.0|1512926520|2173125|1900-01-01T00:00:00Z|0
PER|-31.93,115.83|2017-12-11T04:22:21Z|Perth|Clear|clear sky|+20.99|+20.0|+22.0|1010.0|64|3.1|50.0|1512925200|2063523|1900-01-01T00:00:00Z|0
BUY|-33.33,115.63|2017-12-11T04:22:21Z|Bunbury|Clouds|few clouds|+21.96|+21.96|+21.96|1013.59|53|4.82|147.0|1512926503|2075432|1900-01-01T00:00:00Z|0
